epoch,train_loss,validation_loss
1,11.95350084,9.179821014
2,10.53404093,10.60361195
3,9.783097169,10.12783718
4,11.15720562,12.24158573
5,10.0456056,9.130078316
6,9.191050988,10.90513039
7,10.16103855,9.667210579
8,9.554140024,9.149139404
9,9.816762081,9.368471146
10,9.026794703,9.038777351
11,9.034635275,9.698637962
12,9.539835007,8.84466362
13,9.11923274,8.858971596
14,9.061367597,8.745775223
15,8.662404776,11.2898941
16,8.780479135,8.990629196
17,8.155083247,8.574479103
18,8.077428952,8.540926933
19,8.089311101,9.532169342
20,7.700872773,8.2558918
21,7.462902607,9.679078102
22,7.244746868,8.126907349
23,7.102686295,10.03807259
24,6.62508757,8.910502434
25,6.959046315,7.968973637
26,7.01661349,9.375195503
27,6.740995276,7.984834194
28,6.29095717,7.929827213
29,5.974643661,7.94250536
30,6.019345015,7.5639081
31,5.744314276,7.868416786
32,6.132466118,7.268006325
33,5.874427621,7.181280613
34,5.346903028,7.69700861
35,5.385493612,7.444335938
36,5.016104004,7.415103436
37,5.310722088,6.882797718
38,5.146302755,7.312339783
39,5.172744149,7.366001606
40,5.054680673,6.683859825
41,4.971990576,6.598258495
42,4.491278969,8.567410469
43,5.34257724,6.717932224
44,4.771819573,7.410495281
45,4.195788147,6.676189423
46,4.770555562,6.833315372
47,4.449457049,6.960819721
48,4.287551336,6.886650085
49,4.617168659,6.789158344
50,4.33576731,7.491691589
51,4.381175442,6.554530621
52,4.389412741,7.341060162
53,3.928552819,6.651931763
54,3.928777878,6.355993271
55,3.75187091,6.71790266
56,3.416821278,6.517466068
57,3.811330925,6.043757915
58,3.603476,6.610135555
59,3.417604792,6.135407448
60,3.503379174,6.119680882
61,3.35822228,7.711547375
62,3.118224558,6.030011654
63,3.531475131,6.10600996
64,3.295078872,5.834069729
65,3.172280046,5.877021313
66,2.65893514,5.885325909
67,2.804448576,5.945440769
68,2.764085804,6.137392044
69,2.912772301,6.101090908
70,2.635187836,6.623775482
71,3.455735,7.450864315
72,2.541378247,5.878576756
73,2.817223647,6.373281002
74,2.445001729,5.93588686
75,2.263538014,6.181059361
76,2.103970918,6.004759789
77,2.136515575,5.884417057
78,3.00631909,7.114058495
79,2.268357297,6.292206287
80,1.746197017,5.88145256
81,2.03771405,5.923615932
82,1.997446315,6.182519913
83,2.238481332,6.313318253
84,1.904005929,5.747003555
85,1.688993228,6.315845013
86,2.076146694,5.805512428
87,2.400952361,6.262394428
88,1.719324907,5.885773659
89,1.733717926,6.536633968
90,1.433202887,6.501326084
91,1.498663467,5.924740791
92,1.425398625,5.907529831
93,1.637998401,6.82670927
94,1.444951549,5.888153076
95,1.936042535,5.836475372
96,1.74098634,6.124016762
97,1.297804736,6.542004108
98,1.574280664,6.380439758
99,1.217075443,5.917197227
100,1.372986891,5.861549377
101,0.977529517,5.916612625
102,1.188993052,5.892497063
103,1.119739126,5.829105854
104,1.209961485,5.932948112
105,1.251703793,6.105042458
106,1.101727266,5.909153938
107,1.205161557,6.485553741
108,1.430263573,5.774256706
109,0.978808504,5.971959591
110,0.967822053,6.134991646
111,1.100279918,5.797371387
112,1.102801035,6.241274357
113,1.183561207,5.939421654
114,1.122573694,5.887554169
115,0.905684177,6.392176151
116,1.011317338,5.829940319
117,1.177282383,6.511493206
118,0.909614866,6.824622154
119,0.972393612,6.155347347
120,0.923689173,6.214998245
121,1.00874258,6.06921196
122,0.960516908,5.885704994
123,0.895528131,5.915528297
124,0.785964374,5.808640957
125,0.680730704,5.968546867
126,0.987266085,5.909528255
127,0.874667148,5.978352547
128,0.926771721,5.939114571
129,1.471075026,5.834380627
130,0.871989257,6.10691452
131,0.724556454,6.097333908
132,0.855742223,6.42231226
133,0.969021568,5.995821953
134,0.883118541,6.116124153
135,0.801771506,5.97597599
136,1.159030522,5.900167465
137,0.918777891,6.247336388
138,0.982154604,6.060044765
139,0.815576422,5.940533161
140,0.940555982,6.457107544
141,0.68897366,6.021006584
142,0.816113781,6.113023758
143,0.935492172,5.815914631
144,0.874279048,5.977192879
145,1.010253364,5.820692539
146,0.757303933,5.955720425
147,0.786049652,6.283939362
148,0.85540655,6.248899937
149,0.83660977,5.925441265
150,0.896402309,5.934661865
151,0.700949512,5.91314888
152,0.755642099,5.945611954
153,0.995000477,5.931949139
154,0.659692063,5.840441227
155,0.904048037,6.003365517
156,1.247422158,5.904280186
157,1.06814424,5.746982098
158,1.022965176,5.835065365
159,0.799862518,5.997972012
160,0.707092653,6.032820702
161,0.651766294,5.885647297
162,0.966969955,5.866506577
163,0.777011989,6.554754257
164,0.793717662,6.029057503
165,0.716811574,5.986795902
166,1.047671461,6.017167568
167,0.769625989,6.087910652
168,0.821013052,5.925977707
169,0.850009193,6.318424225
170,0.689524959,6.270218849
171,0.706853157,5.843681335
172,0.614040058,6.31588459
173,0.643908903,6.071423531
174,0.618486112,6.061263561
175,0.673319994,5.977624893
176,0.775879792,6.151881695
177,0.753567951,6.00708437
178,0.656820176,5.965948582
179,0.639245314,5.994410992
180,0.681687798,5.785111904
181,0.998869563,5.918489933
182,0.672264864,6.292614937
183,1.067034827,5.723814964
184,0.668237578,5.997008324
185,0.948214305,6.043197155
186,0.744478965,5.81784153
187,0.854662895,6.085661888
188,0.693696149,6.050632477
189,0.619984894,5.863511086
190,0.81659419,5.890686512
191,0.713344738,6.103582859
192,0.696940632,6.575137615
193,0.784567566,5.893631935
194,0.841585271,6.01017046
195,0.619081729,5.901280403
196,0.83631904,6.030063629
197,0.680391145,5.798682213
198,0.814133942,6.073707104
199,0.72781728,6.04519558
200,0.625012422,6.098574638
